amba_decomposed_arbiter_5.tlsf.ehoa; synt; npp-n; 0.000306; 1; 1139; 7695; 4; 0.000275; -1
amba_decomposed_arbiter_5.tlsf.ehoa; synt; zlk-n; 0.139861; 1; 1139; 7695; 4; 0.139831; 5
amba_decomposed_arbiter_6.tlsf.ehoa; synt; fpi-n; 0.128152; 1; 2733; 23697; 4; 0.128138; 19
amba_decomposed_arbiter_6.tlsf.ehoa; synt; fpj-n; 0.000917; 1; 2733; 23697; 4; 0.000879; 10
amba_decomposed_arbiter_6.tlsf.ehoa; synt; tl-n; 0.000243; 1; 2733; 23697; 4; 0.000233; -1
amba_decomposed_arbiter_6.tlsf.ehoa; synt; rtl-n; 0.000625; 1; 2733; 23697; 4; 0.000617; -1
amba_decomposed_arbiter_6.tlsf.ehoa; synt; ortl-n; 0.000453; 1; 2733; 23697; 4; 0.000444; -1
amba_decomposed_arbiter_6.tlsf.ehoa; synt; npp-n; 0.000391; 1; 2733; 23697; 4; 0.000364; -1
amba_decomposed_arbiter_6.tlsf.ehoa; synt; zlk-n; 0.119548; 1; 2733; 23697; 4; 0.119533; 5
amba_decomposed_arbiter_7.tlsf.ehoa; synt; fpi-n; 0.001762; 1; 6605; 69781; 4; 0.001745; 18
amba_decomposed_arbiter_7.tlsf.ehoa; synt; fpj-n; 0.002930; 1; 6605; 69781; 4; 0.002885; 10
amba_decomposed_arbiter_7.tlsf.ehoa; synt; tl-n; 0.002212; 1; 6605; 69781; 4; 0.002164; -1
amba_decomposed_arbiter_7.tlsf.ehoa; synt; rtl-n; 0.006846; 1; 6605; 69781; 4; 0.006802; -1
amba_decomposed_arbiter_7.tlsf.ehoa; synt; ortl-n; 0.005004; 1; 6605; 69781; 4; 0.004961; -1
amba_decomposed_arbiter_7.tlsf.ehoa; synt; npp-n; 0.000284; 1; 6605; 69781; 4; 0.000273; -1
amba_decomposed_arbiter_7.tlsf.ehoa; synt; zlk-n; 0.005305; 1; 6605; 69781; 4; 0.005259; 5
amba_decomposed_arbiter_8.tlsf.ehoa; synt; fpi-n; 0.119018; 1; 15995; 197795; 4; 0.118986; 19
amba_decomposed_arbiter_8.tlsf.ehoa; synt; fpj-n; 0.001849; 1; 15995; 197795; 4; 0.001821; 10
amba_decomposed_arbiter_8.tlsf.ehoa; synt; tl-n; 0.002005; 1; 15995; 197795; 4; 0.001974; -1
amba_decomposed_arbiter_8.tlsf.ehoa; synt; rtl-n; 0.006502; 1; 15995; 197795; 4; 0.006461; -1
amba_decomposed_arbiter_8.tlsf.ehoa; synt; ortl-n; 0.002570; 1; 15995; 197795; 4; 0.002553; -1
amba_decomposed_arbiter_8.tlsf.ehoa; synt; npp-n; 0.001164; 1; 15995; 197795; 4; 0.001140; -1
amba_decomposed_arbiter_8.tlsf.ehoa; synt; zlk-n; 0.125472; 1; 15995; 197795; 4; 0.125416; 5
amba_decomposed_arbiter_9.tlsf.ehoa; synt; fpi-n; 0.127019; 1; 38567; 542587; 4; 0.126990; 19
amba_decomposed_arbiter_9.tlsf.ehoa; synt; fpj-n; 0.002569; 1; 38567; 542587; 4; 0.002544; 10
